;movie_title;title_year;language;country;Couleur;duration;budget;genres;cast_total_facebook_likes;movie_facebook_likes;imdb_score;movie_imdb_link;action;adventure;animation;biography;comedy;crime;documentary;drama;family;fantasy;film-noir;game-show;history;horror;music;musical;mystery;news;reality-tv;romance;sci-fi;short;sport;thriller;war;western;english;french;australia;canada;france;germany;uk;usa; black and white;color
10;Superman Returns ;2006.0;English;USA;Color;169.0;209000000.0;Action|Adventure|Sci-Fi;29991.0;0.0;6.1;http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
11;Quantum of Solace ;2008.0;English;UK;Color;106.0;200000000.0;Action|Adventure;2023.0;0.0;6.7;http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
12;Pirates of the Caribbean: Dead Man's Chest ;2006.0;English;USA;Color;151.0;225000000.0;Action|Adventure|Fantasy;48486.0;5000.0;7.3;http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
13;The Lone Ranger ;2013.0;English;USA;Color;150.0;215000000.0;Action|Adventure|Western;45757.0;48000.0;6.5;http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
14;Man of Steel ;2013.0;English;USA;Color;143.0;225000000.0;Action|Adventure|Fantasy|Sci-Fi;20495.0;118000.0;7.2;http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
15;The Chronicles of Narnia: Prince Caspian ;2008.0;English;USA;Color;150.0;225000000.0;Action|Adventure|Family|Fantasy;22697.0;0.0;6.6;http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
16;The Avengers ;2012.0;English;USA;Color;173.0;220000000.0;Action|Adventure|Sci-Fi;87697.0;123000.0;8.1;http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
17;Pirates of the Caribbean: On Stranger Tides ;2011.0;English;USA;Color;136.0;250000000.0;Action|Adventure|Fantasy;54083.0;58000.0;6.7;http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
18;Men in Black 3 ;2012.0;English;USA;Color;106.0;225000000.0;Action|Adventure|Comedy|Family|Fantasy|Sci-Fi;12572.0;40000.0;6.8;http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
20;The Amazing Spider-Man ;2012.0;English;USA;Color;153.0;230000000.0;Action|Adventure|Fantasy;28489.0;56000.0;7.0;http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
21;Robin Hood ;2010.0;English;USA;Color;156.0;200000000.0;Action|Adventure|Drama|History;3244.0;17000.0;6.7;http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
22;The Hobbit: The Desolation of Smaug ;2013.0;English;USA;Color;186.0;225000000.0;Adventure|Fantasy;9152.0;83000.0;7.9;http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
23;The Golden Compass ;2007.0;English;USA;Color;113.0;180000000.0;Adventure|Family|Fantasy;24106.0;0.0;6.1;http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
25;Titanic ;1997.0;English;USA;Color;194.0;200000000.0;Drama|Romance;45223.0;26000.0;7.7;http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
26;Captain America: Civil War ;2016.0;English;USA;Color;147.0;250000000.0;Action|Adventure|Sci-Fi;64798.0;72000.0;8.2;http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
27;Battleship ;2012.0;English;USA;Color;131.0;209000000.0;Action|Adventure|Sci-Fi|Thriller;26679.0;44000.0;5.9;http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0
28;Jurassic World ;2015.0;English;USA;Color;124.0;150000000.0;Action|Adventure|Sci-Fi|Thriller;8458.0;150000.0;7.0;http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
29;Skyfall ;2012.0;English;UK;Color;143.0;200000000.0;Action|Adventure|Thriller;2039.0;80000.0;7.8;http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
30;Spider-Man 2 ;2004.0;English;USA;Color;135.0;200000000.0;Action|Adventure|Fantasy|Romance;43388.0;0.0;7.3;http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
31;Iron Man 3 ;2013.0;English;USA;Color;195.0;200000000.0;Action|Adventure|Sci-Fi;30426.0;95000.0;7.2;http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
32;Alice in Wonderland ;2010.0;English;USA;Color;108.0;200000000.0;Adventure|Family|Fantasy;79957.0;24000.0;6.5;http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
33;X-Men: The Last Stand ;2006.0;English;Canada;Color;104.0;210000000.0;Action|Adventure|Fantasy|Sci-Fi|Thriller;21714.0;0.0;6.8;http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
34;Monsters University ;2013.0;English;USA;Color;104.0;200000000.0;Adventure|Animation|Comedy|Family|Fantasy;14863.0;44000.0;7.3;http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
35;Transformers: Revenge of the Fallen ;2009.0;English;USA;Color;150.0;200000000.0;Action|Adventure|Sci-Fi;3218.0;0.0;6.0;http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
36;Transformers: Age of Extinction ;2014.0;English;USA;Color;165.0;210000000.0;Action|Adventure|Sci-Fi;3988.0;56000.0;5.7;http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
37;Oz the Great and Powerful ;2013.0;English;USA;Color;130.0;215000000.0;Adventure|Family|Fantasy;73441.0;60000.0;6.4;http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
38;The Amazing Spider-Man 2 ;2014.0;English;USA;Color;142.0;200000000.0;Action|Adventure|Fantasy|Sci-Fi;28631.0;41000.0;6.7;http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
39;TRON: Legacy ;2010.0;English;USA;Color;125.0;170000000.0;Action|Adventure|Sci-Fi;25550.0;30000.0;6.8;http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
40;Cars 2 ;2011.0;English;USA;Color;106.0;200000000.0;Adventure|Animation|Comedy|Family|Sport;4482.0;10000.0;6.3;http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
41;Green Lantern ;2011.0;English;USA;Color;123.0;200000000.0;Action|Adventure|Sci-Fi;17657.0;24000.0;5.6;http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
42;Toy Story 3 ;2010.0;English;USA;Color;103.0;200000000.0;Adventure|Animation|Comedy|Family|Fantasy;19085.0;30000.0;8.3;http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
43;Terminator Salvation ;2009.0;English;USA;Color;118.0;200000000.0;Action|Adventure|Sci-Fi;27468.0;0.0;6.6;http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
44;Furious 7 ;2015.0;English;USA;Color;140.0;190000000.0;Action|Crime|Thriller;79150.0;94000.0;7.2;http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
45;World War Z ;2013.0;English;USA;Color;123.0;190000000.0;Action|Adventure|Horror|Sci-Fi|Thriller;32392.0;129000.0;7.0;http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
46;X-Men: Days of Future Past ;2014.0;English;USA;Color;149.0;200000000.0;Action|Adventure|Fantasy|Sci-Fi|Thriller;91434.0;82000.0;8.0;http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
47;Star Trek Into Darkness ;2013.0;English;USA;Color;132.0;190000000.0;Action|Adventure|Sci-Fi;21411.0;92000.0;7.8;http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
48;Jack the Giant Slayer ;2013.0;English;USA;Color;114.0;195000000.0;Adventure|Fantasy;1766.0;22000.0;6.3;http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
49;The Great Gatsby ;2013.0;English;Australia;Color;143.0;105000000.0;Drama|Romance;29770.0;115000.0;7.3;http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
50;Prince of Persia: The Sands of Time ;2010.0;English;USA;Color;116.0;200000000.0;Action|Adventure|Fantasy|Romance;16149.0;23000.0;6.6;http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
51;Pacific Rim ;2013.0;English;USA;Color;131.0;190000000.0;Action|Adventure|Sci-Fi;19166.0;83000.0;7.0;http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
52;Transformers: Dark of the Moon ;2011.0;English;USA;Color;154.0;195000000.0;Action|Adventure|Sci-Fi;2593.0;46000.0;6.3;http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
53;Indiana Jones and the Kingdom of the Crystal Skull ;2008.0;English;USA;Color;122.0;185000000.0;Action|Adventure|Fantasy;14959.0;5000.0;6.2;http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
55;Brave ;2012.0;English;USA;Color;93.0;185000000.0;Adventure|Animation|Comedy|Family|Fantasy;5005.0;39000.0;7.2;http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
56;Star Trek Beyond ;2016.0;English;USA;Color;122.0;185000000.0;Action|Adventure|Sci-Fi|Thriller;1327.0;30000.0;7.5;http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
57;WALL·E ;2008.0;English;USA;Color;98.0;180000000.0;Adventure|Animation|Family|Sci-Fi;2975.0;16000.0;8.4;http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
